Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	mutant_1	mutant_2	mutant_3	mutant_4	mutant_5	normal_1	normal_2	normal_3	normal_4	normal_5
1	GENE_0913	668.570170638977	2.18516128318366	0.195262463768864	11.1908927143841	4.51861128183032e-29	2.88252146264409e-26	1505.83440635843	840.501981260535	891.356611967783	976.703453089456	1263.14409174099	224.069209191542	295.179313238724	286.14919049482	184.253369663064	218.510079384422
2	GENE_0962	262.956234633378	1.91910554407437	0.171820086037209	11.1692735601283	5.76504292528819e-29	2.88252146264409e-26	489.662302883275	399.136273110756	427.806494215114	368.62889178059	397.933062685296	127.89791144119	75.8561363630239	106.994914706759	103.216008005698	132.430351142074
3	GENE_0046	689.584800990237	2.33629196365425	0.213474045659505	10.944149938399	7.08794682376197e-28	2.36264894125399e-25	1212.6920912544	1232.82705517145	933.80216491863	1220.06376571629	1155.39277986106	381.710820967892	232.515548417095	204.036814091958	171.457996769796	151.348972733799
4	GENE_0022	186.343032706515	-2.09088060043726	0.198157546555129	-10.5516072276135	4.99354869579887e-26	1.24838717394972e-23	63.8689960282533	99.443508317697	52.4984470707842	79.5977430039504	58.6764569643198	274.633499761315	407.314471340585	261.266652190922	282.351228511455	283.779323875872
5	GENE_0975	405.856306332958	2.00417175111435	0.193605715704038	10.3518211940503	4.10599856598004e-25	8.21199713196007e-23	809.826116306955	735.609513582964	510.46362364571	543.48295018271	652.908939312068	143.761218286609	122.029436757908	154.271737484164	232.022761797933	154.186765972557
6	GENE_0492	309.456314563235	1.96766782047158	0.201491989705645	9.76548905664239	1.58346167634713e-22	2.63910279391188e-20	497.031802424997	388.238354391009	434.508423628406	538.263426051304	609.168307756847	121.949171374158	82.4523221337217	118.606765915244	115.158356039415	189.186215917248
7	GENE_0400	102.544777397207	1.98594316496791	0.209798456305942	9.46595699480209	2.90885082677262e-21	4.15550118110374e-19	156.397156940979	121.239345757192	189.888000043262	161.152807557178	192.032040974138	29.7437003351604	32.9809288534887	55.5710022120375	40.0921683989075	46.3506228997258
8	GENE_0325	44.6719233510138	-2.33989583653628	0.251087724907583	-9.31903715085044	1.17400819036174e-20	1.46751023795218e-18	10.6448326713755	23.1580772794637	15.6378352976804	15.0061318777939	10.6684467207854	76.3421641935785	82.4523221337217	81.2829584593981	69.0950136236491	62.4314512526919
9	GENE_0100	257.530315598976	1.73602999405481	0.186839847852609	9.29154039680175	1.52071296450181e-20	1.68968107166868e-18	397.952975252963	343.28443967205	407.700705975239	473.019374408721	355.259275802154	84.2738176162879	151.712272726048	139.342214501825	91.2736599719808	131.484420062487
10	GENE_0176	131.277048734375	1.66676550532592	0.180925177164269	9.2124575001112	3.18742347351836e-20	3.18742347351836e-18	186.693988390279	189.351337755615	242.386447114046	159.195486007901	220.836847120258	54.5301172811275	67.6109041496518	63.8651816466699	63.9768644663417	64.3233134118644
